Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Creative Application of Artificial Intelligence in Education,Creative Applications of Artificial Intelligence in Education,,,,10.1007/978-3-031-55272-4_1,Alex UrmenetaMargarida Romero,2024,https://link.springer.com/chapter/10.1007/978-3-031-55272-4_1,Chapter
The role of ChatGPT in sports trauma: a mini review on strengths and limits of open AI application,Discover Artificial Intelligence,,,,10.1007/s44163-023-00093-1,Muhammad HasnainBilal MehboobShahid Imran,2023,https://link.springer.com/article/10.1007/s44163-023-00093-1,Article
Pictures or It didn’t Happen! How the Use of the Generative AI Images Impacts the Perceived Believability of News Headlines,Information Systems and Neuroscience,,,,10.1007/978-3-031-71385-9_4,Lotte Lie DuestadHanne Celine FossJeno TothRob Gleasure,2025,https://link.springer.com/chapter/10.1007/978-3-031-71385-9_4,Conference paper
Generative artificial intelligence attitude analysis of undergraduate students and their precise improvement strategies: A differential analysis of multifactorial influences,Education and Information Technologies,,,,10.1007/s10639-024-13236-3,Lihui SunLiang Zhou,2024,https://link.springer.com/article/10.1007/s10639-024-13236-3,Article
Resources for AI in Strategic Communication,Artificial Intelligence for Strategic Communication,,,,10.1007/978-981-96-2575-8_14,Karen E. Sutherland,2025,https://link.springer.com/chapter/10.1007/978-981-96-2575-8_14,Chapter
A study on the advancement of building energy simulations: Utilizing ChatGPT to enhance occupancy rate predictions and sustainability outcomes,International Journal of Air-Conditioning and Refrigeration,,,,10.1007/s44189-025-00077-z,Jae-Woo LeeKyung-Soon ParkYong-Joon JunSeon-Hye Eom,2025,https://link.springer.com/article/10.1007/s44189-025-00077-z,Article
Ethical Challenges Associated with the Use of Artificial Intelligence in University Education,Journal of Academic Ethics,,,,10.1007/s10805-025-09660-w,Yuri Reina MarínOmer Cruz CaroAngelica María Carrasco RituayKatia Araceli Guimac LlanosDoris Tarrillo PerezEinstein Sánchez BardalesJudith Nathaly Alva TuestaRiver Chávez Santos,2025,https://link.springer.com/article/10.1007/s10805-025-09660-w,Article
Artificial Intelligence: Society’s New Black Box?,Development,,,,10.1057/s41301-024-00417-3,Clarisa Elena Nelu,2024,https://link.springer.com/article/10.1057/s41301-024-00417-3,Article
Exploring Socially Constructed Technological Platform—Metaverse—as an Educational Tool for Attaining SDG 4 &amp; PRME,Immersive Technology and Experiences,,,,10.1007/978-981-99-8834-1_4,Gautam AgrawalSavita SodhiRitu ChhikaraRuchi Garg,2024,https://link.springer.com/chapter/10.1007/978-981-99-8834-1_4,Chapter
LitroACP: A Lightweight and&#xa0;Robust Framework for&#xa0;Extracting Access Control Policies from&#xa0;Specifications,Advanced Information Systems Engineering,,,,10.1007/978-3-031-94569-4_5,Yanqiu ZhangZhen XuDongDong HuoXiaokun GuoQihui ZhouYu Wang,2025,https://link.springer.com/chapter/10.1007/978-3-031-94569-4_5,Conference paper
Dynamic Iteration of Pedagogical Designs in AIED: Findings from a Literature Review and Bibliometric Analysis,Radical Solutions for Artificial Intelligence and Digital Transformation in Education,,,,10.1007/978-981-97-8638-1_13,Yaohuizhuo LiuZhengxin WangWei XuWu Longkai,2024,https://link.springer.com/chapter/10.1007/978-981-97-8638-1_13,Chapter
Communicating Sustainability Through Language Differences with Rich Point Pedagogy,The Palgrave Handbook of Social Sustainability in Business Education,,,,10.1007/978-3-031-50168-5_19,Stephanie Jo KentGlynis Anna JonesSulu ZhambylJeffrey A. Kappen,2024,https://link.springer.com/chapter/10.1007/978-3-031-50168-5_19,Chapter
Development of Translation Studies in the New Millenium,Multidisciplinary Insights into Translation Studies,,,,10.1007/978-3-031-87205-1_2,Jozef Štefčík,2025,https://link.springer.com/chapter/10.1007/978-3-031-87205-1_2,Chapter
AI-Enabled Blended Collaborative Education,E-Business. New Challenges and Opportunities for Digital-Enabled Intelligent Future,,,,10.1007/978-3-031-60264-1_27,Xiaoxia Wang,2024,https://link.springer.com/chapter/10.1007/978-3-031-60264-1_27,Conference paper
Bibliometric analysis and review of AI-based video generation: research dynamics and application trends (2020–2025),Discover Computing,,,,10.1007/s10791-025-09628-9,Wei XieAnshu HuQing XieJunjie ChenRuoyu WanYuhan Liu,2025,https://link.springer.com/article/10.1007/s10791-025-09628-9,Article
Automated Requirements Relations Extraction,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_7,Quim MotgerXavier Franch,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_7,Chapter
Entrepreneurial self-efficacy among students: a bibliometric mapping and topic modelling approach,Entrepreneurship Education,,,,10.1007/s41959-025-00138-9,Stuwart AntonPaul Mansingh,2025,https://link.springer.com/article/10.1007/s41959-025-00138-9,Article
Gender bias in visual generative artificial intelligence systems and the socialization of AI,AI & SOCIETY,,,,10.1007/s00146-024-02129-1,Larry G. LockeGrace Hodgdon,2024,https://link.springer.com/article/10.1007/s00146-024-02129-1,Article
Potenziale von Foresight für die Twin-Transformation und organisationale Resilienz,"Triple Transformation: New Work, Digitalisierung und Nachhaltigkeit",,,,10.37307/b.978-3-503-23933-7.19,Stefanie WrobelChristina Moser,2024,https://link.springer.com/chapter/10.37307/b.978-3-503-23933-7.19,Chapter
Die Zukunft von Geschäftsmodellen und Unternehmertum: Smarter denken mit KI,Zukunftsgestalter Deutschlands,,,,10.1007/978-3-662-70324-3_4,Melanie Stütz,2025,https://link.springer.com/chapter/10.1007/978-3-662-70324-3_4,Chapter
AI with a Heart: Integrating Emotional Intelligence and Sustainability in Smart Education for 21st Century Learners,Proceedings of the ICSDI 2024 Volume 2,,,,10.1007/978-981-97-8348-9_56,Tahira Hoke,2025,https://link.springer.com/chapter/10.1007/978-981-97-8348-9_56,Conference paper
Fostering Entrepreneurial intentions: exploring the interplay of education and endogenous factors,International Entrepreneurship and Management Journal,,,,10.1007/s11365-024-01020-1,Dafna KarivCarlo GiglioVincenzo Corvello,2024,https://link.springer.com/article/10.1007/s11365-024-01020-1,Article
Analysis of Networking Within a Complex Technological Ecosystem,Advanced Intelligent Technologies and Sustainable Society,,,,10.1007/978-981-97-3210-4_32,Yuchen Wang,2024,https://link.springer.com/chapter/10.1007/978-981-97-3210-4_32,Conference paper
Barriers to AI adoption for women in higher education: a systematic review of the Asian context,Smart Learning Environments,,,,10.1186/s40561-025-00390-5,Usama KalimAsha KanwarJiena ShaRonghuai Huang,2025,https://link.springer.com/article/10.1186/s40561-025-00390-5,Article
"Oral Presentation Abstracts, 28th Annual Conference of the International Association of Medical Science Educators, June 15-18, 2024",Medical Science Educator,,,,10.1007/s40670-024-02228-0,,2024,https://link.springer.com/article/10.1007/s40670-024-02228-0,Article
Fostering Awareness of Social Sustainability in Digital Business,The Palgrave Handbook of Social Sustainability in Business Education,,,,10.1007/978-3-031-50168-5_8,Julio C. SerranoSniazhana DiducAušrinė ŠilenskytėMelodena StephensKarla Maria Nava-Aguirre,2024,https://link.springer.com/chapter/10.1007/978-3-031-50168-5_8,Chapter
Generative artificial intelligence (GenAI) and entrepreneurial performance: implications for entrepreneurs,The Journal of Technology Transfer,,,,10.1007/s10961-024-10132-3,Ailing LiuShaofeng Wang,2024,https://link.springer.com/article/10.1007/s10961-024-10132-3,Article
Impact of Technological Innovation on the Digital Transformation of Organizations and Society,"Proceedings of the XI International Scientific Conference ""Digital Transformation of the Economy: Challenges, Trends and New Opportunities"" (ISCDTE 2024)",,,,10.1007/978-3-031-65659-0_2,E. P. TroshinaA. V. Kutuev,2024,https://link.springer.com/chapter/10.1007/978-3-031-65659-0_2,Conference paper
Preface and Introduction to the Volume,Creativity and Critique in Digital Learning and Teaching,,,,10.1007/978-3-031-68086-1_1,Jacqueline BaxterHelen Selby-FellAndrew Gilbert,2025,https://link.springer.com/chapter/10.1007/978-3-031-68086-1_1,Chapter
Using learning analytics to explore peer learning patterns in asynchronous gamified environments,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-024-00476-z,Jewoong MoonLaura McNeillChristopher Thomas EdmondsSeyyed Kazem BanihashemOmid Noroozi,2024,https://link.springer.com/article/10.1186/s41239-024-00476-z,Article
The Futures of Digital Learning and Teaching,Creativity and Critique in Digital Learning and Teaching,,,,10.1007/978-3-031-68086-1_14,Andrew GilbertJacqueline Baxter,2025,https://link.springer.com/chapter/10.1007/978-3-031-68086-1_14,Chapter
A case study on professional skills and accredited graduate programs of marketing,Applied Network Science,,,,10.1007/s41109-025-00696-w,Silvana DakdukMaría del Pilar García-ChitivaJuan C. Correa,2025,https://link.springer.com/article/10.1007/s41109-025-00696-w,Article
"Agenda Formation and Prediction of Voting Tendencies for European Parliament Election using Textual, Social and Network Features",Information Systems Frontiers,,,,10.1007/s10796-024-10568-w,Gautam Kishore ShahiAli Sercan BasyurtStefan StieglitzChristoph Neuberger,2024,https://link.springer.com/article/10.1007/s10796-024-10568-w,Article
AI and Education: Preparing the MENA's Workforce for the Future,AI in the Middle East for Growth and Business,,,,10.1007/978-3-031-75589-7_3,Georges YahchouchiSareh Rotabi,2025,https://link.springer.com/chapter/10.1007/978-3-031-75589-7_3,Chapter
Interactive Learning Through Conversational Avatars and Immersive VR: Enhancing Diabetes Education and Self-Management,HCI in Games,,,,10.1007/978-3-031-92578-8_27,Ilias LogothetisKleanthis DiakogiannisNikolas Vidakis,2025,https://link.springer.com/chapter/10.1007/978-3-031-92578-8_27,Conference paper
Student Experience with AI-Assisted Situational Analysis in Construction Management,Artificial Intelligence in Vocational Education and Training,,,,10.1007/978-981-96-6001-8_5,Sundeep Chowdary Daggubati,2025,https://link.springer.com/chapter/10.1007/978-981-96-6001-8_5,Chapter
Construction and Implementation of a Hierarchical Practical Teaching Model Integrating AI Technology,Advances in Computer Science for Engineering and Education VII,,,,10.1007/978-3-031-84228-3_53,Ying ZhangHaoliang Zhu,2025,https://link.springer.com/chapter/10.1007/978-3-031-84228-3_53,Conference paper
Exploring the Impact of AI on Employee Engagement and Productivity in Human Resource Management,"Achieving Sustainable Business through AI, Technology Education and Computer Science",,,,10.1007/978-3-031-70855-8_46,Mohamed Ahmed Elbadawi,2025,https://link.springer.com/chapter/10.1007/978-3-031-70855-8_46,Chapter
Intelligent Decision Support in Personal Health: Personalized Health Coaching in Type 2 Diabetes,Human Computer Interaction in Healthcare,,,,10.1007/978-3-031-69947-4_17,Lena MamykinaElliot MitchellPooja DesaiDavid Albers,2024,https://link.springer.com/chapter/10.1007/978-3-031-69947-4_17,Chapter
Cognitive Infocommunications,Cognitive Aspects of Virtual Reality,,,,10.1007/978-3-031-68130-1_1,Ildikó HorváthBorbála BerkiAnna SudárÁdám CsapóPéter Baranyi,2024,https://link.springer.com/chapter/10.1007/978-3-031-68130-1_1,Chapter
Enhancing knowledge spillover of innovation through artificial intelligence: an empirical investigation,The Journal of Technology Transfer,,,,10.1007/s10961-025-10217-7,Elettra D’AmicoMaksim BelitskiAlessandro BragaRobert Savoie,2025,https://link.springer.com/article/10.1007/s10961-025-10217-7,Article
Artificial intelligence in education research during 2013–2023: A review based on bibliometric analysis,Education and Information Technologies,,,,10.1007/s10639-024-12491-8,Shuchen GuoYuanyuan ZhengXiaoming Zhai,2024,https://link.springer.com/article/10.1007/s10639-024-12491-8,Article
Driving entrepreneurial success: navigating AI-driven transformation through workforce agility and sustainability,Journal of Innovation and Entrepreneurship,,,,10.1186/s13731-025-00554-0,Shalini RastogiDeepika Pandita,2025,https://link.springer.com/article/10.1186/s13731-025-00554-0,Article
Digital Marketing in Tourism and Hospitality,Marketing Tourism and Hospitality,,,,10.1007/978-3-031-65983-6_12,Richard George,2025,https://link.springer.com/chapter/10.1007/978-3-031-65983-6_12,Chapter
Third Decade in the Twenty-First Century Skills and A.I. in Education,E-Learning and Enhancing Soft Skills,,,,10.1007/978-3-031-82243-8_1,Piet KommersEugenia Smyrnova-Trybulska,2025,https://link.springer.com/chapter/10.1007/978-3-031-82243-8_1,Chapter
"Biomedical Engineering Innovation, Design, and Entrepreneurship Alliance (BME-IDEA): 20 Years of Impact and Mapping the Path for the Next 20",Biomedical Engineering Education,,,,10.1007/s43683-024-00159-1,Sabia Z. AbidiLyn DenendAaron M. KyleKatherine E. ReutherEric S. Richardson,2024,https://link.springer.com/article/10.1007/s43683-024-00159-1,Article
An Edge AI Course Template,Foundations of Computer Science and Frontiers in Education: Computer Science and Computer Engineering,,,,10.1007/978-3-031-85930-4_31,Ning Chen,2025,https://link.springer.com/chapter/10.1007/978-3-031-85930-4_31,Conference paper
Filter Bubbles and the Unfeeling: How AI for Social Media Can Foster Extremism and Polarization,Philosophy & Technology,,,,10.1007/s13347-024-00758-4,Ermelinda Rodilosso,2024,https://link.springer.com/article/10.1007/s13347-024-00758-4,Article
Learning health system strategies in the AI era,npj Health Systems,,,,10.1038/s44401-025-00029-0,Peter A. D. SteelGabriel WardiRobert A. HarringtonChristopher A. Longhurst,2025,https://www.nature.com/articles/s44401-025-00029-0,Article
The New Apocalypse: Twenty-First Century,Future Fear,,,,10.1007/978-3-031-59412-0_8,John Potts,2024,https://link.springer.com/chapter/10.1007/978-3-031-59412-0_8,Chapter
Strategic Marketing Analytics: A Systematic Review,Strategy Analytics for Business Resilience Theories and Practices,,,,10.1007/978-3-031-82369-5_12,Ananya MishraPradeep Kautish,2025,https://link.springer.com/chapter/10.1007/978-3-031-82369-5_12,Chapter
Prelude,The Future-Ready Leader,,,,10.1007/978-3-031-45090-7_1,Peter LorangeKarin Mugnaini,2023,https://link.springer.com/chapter/10.1007/978-3-031-45090-7_1,Chapter
Using GenAI as Co-author for Teaching Supply Chain Management in Higher Education,Advanced Technologies and the University of the Future,,,,10.1007/978-3-031-71530-3_12,Dominik WörnerAndreas Holzapfel,2025,https://link.springer.com/chapter/10.1007/978-3-031-71530-3_12,Chapter
Trustworthy AI: AI made in Germany and Europe?,AI & SOCIETY,,,,10.1007/s00146-023-01808-9,Hartmut Hirsch-KreinsenThorben Krokowski,2023,https://link.springer.com/article/10.1007/s00146-023-01808-9,Article
Joann Wu,Chief Design Officers at Work,,,,10.1007/979-8-8688-1137-1_14,Jaleh Afshar,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1137-1_14,Chapter
Enhancing learner satisfaction through human-like digital instructors: an empirical study on the role of visual and verbal human likeness in e-learning,Education and Information Technologies,,,,10.1007/s10639-024-13163-3,Lianghai Chu,2024,https://link.springer.com/article/10.1007/s10639-024-13163-3,Article
The Landscape of Digital Transformation and Leadership,Employee Uncertainty Over Digital Transformation,,,,10.1007/978-981-99-8409-1_1,Masaki Matsunaga,2024,https://link.springer.com/chapter/10.1007/978-981-99-8409-1_1,Chapter
Acquiring Artificial Intelligence (AI) Terminology in the Specialised Translation Class: A Gamified Strategy,New Advances in Translation Technology,,,,10.1007/978-981-97-2958-6_10,Gloria Corpas PastorMarta Alcaide-Martínez,2024,https://link.springer.com/chapter/10.1007/978-981-97-2958-6_10,Chapter
The TRAIN Framework for AI-Assisted Development of Novice Accounting Instructors,Education for Sustainable Development: The Contribution of Universities,,,,10.1007/978-3-031-86985-3_27,Semen Son-Turan,2025,https://link.springer.com/chapter/10.1007/978-3-031-86985-3_27,Chapter
Explainable and interpretable machine learning and data mining,Data Mining and Knowledge Discovery,,,,10.1007/s10618-024-01041-y,Martin AtzmuellerJohannes FürnkranzTomáš KliegrUte Schmid,2024,https://link.springer.com/article/10.1007/s10618-024-01041-y,Article
Developing a Pedagogical Approach to Enhance Learning Experiences for Fostering Soft Skills,HCI International 2024 – Late Breaking Papers,,,,10.1007/978-3-031-76815-6_7,Eunyoung Kim,2025,https://link.springer.com/chapter/10.1007/978-3-031-76815-6_7,Conference paper
"Vertical Integration and Horizontal Growth in Entrepreneurship: Converging Education, Innovation, and Technology Ecosystems","Entrepreneurship, Innovation, and Technology",,,,10.1007/978-3-031-65314-8_4,Rajagopal,2024,https://link.springer.com/chapter/10.1007/978-3-031-65314-8_4,Chapter
"To be with artificial intelligence in oral test or not to be: a probe into the traces of success in speaking skill, psychological well-being, autonomy, and academic buoyancy",Language Testing in Asia,,,,10.1186/s40468-024-00321-0,Biju Theruvil SayedZein Bassam Bani YounesAhmad AlkhayyatIroda AdhamovaHabesha Teferi,2024,https://link.springer.com/article/10.1186/s40468-024-00321-0,Article
The Critique of Management: An Interview with Vincent Blok,Philosophy of Management,,,,10.1007/s40926-024-00250-1,Lucien von Schomberg,2024,https://link.springer.com/article/10.1007/s40926-024-00250-1,Article
Natural Language Processing in Higher Education Institutions: A Bibliometric Analysis Using Scopus Database,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_8,Oufkir Abdellah AitZineb MohibMohamed Adrdour,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_8,Conference paper
What Management Skills Are Needed in the Digital Era? A Business Executive Perspective,Leading and Managing in the Digital Era,,,,10.1007/978-3-031-65782-5_22,Dimitra IordanoglouTheano LianidouPeter DominickTom BegleyMarc MarcheseGregory Prastacos,2024,https://link.springer.com/chapter/10.1007/978-3-031-65782-5_22,Conference paper
Crisis and Transformation: A Prerequisite for a New Paradigm in the Economy?,Transdisciplinary Thinking and Acting,,,,10.1007/978-3-031-70680-6_12,René Schmidpeter,2025,https://link.springer.com/chapter/10.1007/978-3-031-70680-6_12,Chapter
Digital Technologies and Sustainability in Project Management: Current Trends and Future Perspectives,Tomorrow's Data Empowered Project Management,,,,10.1007/978-3-031-84017-3_8,Leila Moslemi NaeniRoksana Jahan Tumpa,2025,https://link.springer.com/chapter/10.1007/978-3-031-84017-3_8,Chapter
"Selected Abstracts from the Annual Meeting of SESAM - the Society for Simulation in&#xa0;Europe,&#xa0;2025",Advances in Simulation,,,,10.1186/s41077-025-00360-4,,2025,https://link.springer.com/article/10.1186/s41077-025-00360-4,Article
Exploring the Entrepreneurial Self-Efficacy of STEM Students within the Context of an Informal STEM Education Programme,Research in Science Education,,,,10.1007/s11165-024-10178-1,Pengzhi ChuZhujun JiangXiongziyan XiaoXiaoni LiangJie ChenFeng-Kuang Chiang,2024,https://link.springer.com/article/10.1007/s11165-024-10178-1,Article
Purgatory as a Learning Platform for Leaders,Dante in the Workplace,,,,10.1007/978-3-031-92202-2_1,Santiago Iñiguez,2025,https://link.springer.com/chapter/10.1007/978-3-031-92202-2_1,Chapter
"Diabetes and artificial intelligence beyond the closed loop: a review of the landscape, promise and challenges",Diabetologia,,,,10.1007/s00125-023-06038-8,Scott C. MackenzieChris A. R. SainsburyDeborah J. Wake,2023,https://link.springer.com/article/10.1007/s00125-023-06038-8,Article
Data Centers: Evolving from Tools to Pillars of the Knowledge Economy’s Expansion,Encyclopedia of Educational Innovation,,,,10.1007/978-981-13-2262-4_341-1,Carlos Cardenas Espitia,2025,https://link.springer.com/rwe/10.1007/978-981-13-2262-4_341-1,Living reference work entry
Where Are We Now with Digital Teaching? Critical Reflections on Digital Teaching and SoTL in Business and Law,Creativity and Critique in Digital Learning and Teaching,,,,10.1007/978-3-031-68086-1_2,Jacqueline BaxterAndrew GilbertHelen Selby-Fell,2025,https://link.springer.com/chapter/10.1007/978-3-031-68086-1_2,Chapter
Celebrating 50 years of DECISION,DECISION,,,,10.1007/s40622-023-00344-1,Priya Seetharaman,2023,https://link.springer.com/article/10.1007/s40622-023-00344-1,Article
Developing Industry-Ready Business Analysts: Guiding Principles for Effective Assessment for Learning (AfL) in a BPM Course,"Business Process Management: Blockchain, Robotic Process Automation and Educators Forum",,,,10.1007/978-3-031-43433-4_16,Nina EvansKaramjit KaurAnisha Fernando,2023,https://link.springer.com/chapter/10.1007/978-3-031-43433-4_16,Conference paper
Artificial intelligence technologies and entrepreneurship: a hybrid literature review,Review of Managerial Science,,,,10.1007/s11846-025-00839-4,Sebastián UriarteHugo Baier-FuentesJorge Espinoza-BenavidesWilliam Inzunza-Mendoza,2025,https://link.springer.com/article/10.1007/s11846-025-00839-4,Article
End-User Development,Handbook of Human Computer Interaction,,,,10.1007/978-3-319-27648-9_37-1,Fabio Paternò,2023,https://link.springer.com/rwe/10.1007/978-3-319-27648-9_37-1,Living reference work entry
Forty years of the theory of planned behavior: a bibliometric analysis (1985–2024),Management Review Quarterly,,,,10.1007/s11301-025-00487-8,Shankar T. NaskarJose Maria Merigo Lindahl,2025,https://link.springer.com/article/10.1007/s11301-025-00487-8,Article
Navigating the Future of Digital Transformation and Leadership,Employee Uncertainty Over Digital Transformation,,,,10.1007/978-981-99-8409-1_5,Masaki Matsunaga,2024,https://link.springer.com/chapter/10.1007/978-981-99-8409-1_5,Chapter
The Game Analytics,Unmasking Invisible Challenges in Entrepreneurship,,,,10.1007/978-3-031-63653-0_3,RajagopalAnanya Rajagopal,2024,https://link.springer.com/chapter/10.1007/978-3-031-63653-0_3,Chapter
“Just learn it?” How individual differences and HMSAM impact learners’ intention to engage in AI-related education,Education and Information Technologies,,,,10.1007/s10639-024-13199-5,Yu-Yin Wang,2024,https://link.springer.com/article/10.1007/s10639-024-13199-5,Article
"Scientometrics, Data Science and Teaching Innovations in Economics. Reality or Utopia?",Teaching Innovations in Economics,,,,10.1007/978-3-031-72549-4_14,Consolación Quintana-RojoDaniel Rojas-Peña,2024,https://link.springer.com/chapter/10.1007/978-3-031-72549-4_14,Chapter
"Are We Ready for the Metaverse? Implications, Legal Landscape, and Recommendations for Responsible Development",Digital Society,,,,10.1007/s44206-025-00163-0,Xinyi TuBruna de Castro e Silva,2025,https://link.springer.com/article/10.1007/s44206-025-00163-0,Article
"Roles of artificial intelligence experience, information redundancy, and familiarity in shaping active learning: Insights from intelligent personal assistants",Education and Information Technologies,,,,10.1007/s10639-024-12895-6,Shaofeng WangZhuo Sun,2024,https://link.springer.com/article/10.1007/s10639-024-12895-6,Article
The transformative power of artificial intelligence in entrepreneurship: exploring AI’s capabilities for the success of entrepreneurial ventures,Future Business Journal,,,,10.1186/s43093-025-00533-7,Yaser Hasan Al-Mamary,2025,https://link.springer.com/article/10.1186/s43093-025-00533-7,Article
"The Concept of the American-Styled Law Doctorate as It Obtains in the US, Canada, Australia, Singapore and Other Pertinent Jurisdictions",Doctoral Degree Programs in Law,,,,10.1007/978-3-030-88421-5_2,Kenneth K. Mwenda,2022,https://link.springer.com/chapter/10.1007/978-3-030-88421-5_2,Chapter
"Reaching Luxury Shoppers, Travel Retail, and the Sense of Time",Designing Luxury Brands,,,,10.1007/978-3-031-54093-6_10,Diana Derval,2024,https://link.springer.com/chapter/10.1007/978-3-031-54093-6_10,Chapter
AI-Assisted Intelligent Humanoid Robot,Transactions of the Indian National Academy of Engineering,,,,10.1007/s41403-024-00468-5,Dilip Kumar Pratihar,2024,https://link.springer.com/article/10.1007/s41403-024-00468-5,Article
Exploring Artificial Intelligence for Topology Optimization in an Engineering Course,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_33,Hector Rafael Morano OkunoGuillermo Sandoval Benitez,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_33,Conference paper
A Competency-Based Transformation in Computing and Engineering Education in the Digital Era,Frontiers of Digital Education,,,,10.1007/s44366-024-0025-8,John ImpagliazzoXiaofei Xu,2024,https://link.springer.com/article/10.1007/s44366-024-0025-8,Article
Leveraging RNNs and Transformers for Personalized Mental Health Chatbots: A Review,ICT Systems and Sustainability,,,,10.1007/978-981-97-8526-1_30,Bhawani Singh RathoreSandeep Chaurasia,2025,https://link.springer.com/chapter/10.1007/978-981-97-8526-1_30,Conference paper
A technostress–entrepreneurship nexus in the developing world,International Entrepreneurship and Management Journal,,,,10.1007/s11365-024-00968-4,Amon SimbaPatient RambeSamuel Ribeiro NavarreteMaria Teresa Palomo Vadillo,2024,https://link.springer.com/article/10.1007/s11365-024-00968-4,Article
Implementing AI Conversation in Business,Unleashing The Power of ChatGPT,,,,10.1007/979-8-8688-0032-0_5,Charles Waghmare,2023,https://link.springer.com/chapter/10.1007/979-8-8688-0032-0_5,Chapter
"Fuzzy Logic and Applications in Education and Games: Theory, Practical Implementations and a Literature Review",Artificial Intelligence—Based Games as Novel Holistic Educational Environments to Teach 21st Century Skills,,,,10.1007/978-3-031-77464-5_4,Spyros PapadimitriouMaria Virvou,2025,https://link.springer.com/chapter/10.1007/978-3-031-77464-5_4,Chapter
The Relational Infrastructures of Knowledge: Inclusiveness and Innovation for Made in Italy,Perspectives on Design and Digital Communication V,,,,10.1007/978-3-031-76156-0_6,Pietro PantanoPatrizia RanzoArrigo BertacchiniSalvatore Carleo,2025,https://link.springer.com/chapter/10.1007/978-3-031-76156-0_6,Chapter
Teachers’ Perceptions of Knowledge Production in the Age of Artificial Intelligence: A Systematic Literature Review,Perspectives and Trends in Education and Technology,,,,10.1007/978-3-031-78155-1_18,Elizama das Chagas LemosBruno F. GonçalvesVitor Gonçalves,2025,https://link.springer.com/chapter/10.1007/978-3-031-78155-1_18,Conference paper
Seeking empathy or suggesting a solution? Effects of chatbot messages on service failure recovery,Electronic Markets,,,,10.1007/s12525-023-00673-0,Martin HauptAnna RozumowskiJan FreidankAlexander Haas,2023,https://link.springer.com/article/10.1007/s12525-023-00673-0,Article
Robots in travel clinics: building on tourism’s use of technology and robots for infection control during a pandemic,"Tropical Diseases, Travel Medicine and Vaccines",,,,10.1186/s40794-023-00197-7,Irmgard L Bauer,2023,https://link.springer.com/article/10.1186/s40794-023-00197-7,Article
Advancing Assessment for Enhanced e-Education in the MENA Region,Governance in Higher Education,,,,10.1007/978-3-031-40586-0_11,Rock-Antoine MehannaShaima AlHarmoodiNehme Azoury,2023,https://link.springer.com/chapter/10.1007/978-3-031-40586-0_11,Chapter
Embedding Sustainability in Curricula: A Case Study of an Education for Sustainable Development (ESD) Framework at the Westminster Business School,Advancements in Sustainable Development,,,,10.1007/978-3-031-86337-0_16,Gustavo Espinoza-RamosAmanda Capucci-Polzin,2025,https://link.springer.com/chapter/10.1007/978-3-031-86337-0_16,Conference paper
Corpus machine translation system based on compaction algorithm and self-attention mechanism model,Neural Computing and Applications,,,,10.1007/s00521-025-11351-x,Zijing LiXianrui YanWenzhe YangShuhua Pan,2025,https://link.springer.com/article/10.1007/s00521-025-11351-x,Article
Acceptance of artificial intelligence and its effect on entrepreneurial intention in foreign trade students: a mirror analysis,Journal of Innovation and Entrepreneurship,,,,10.1186/s13731-024-00412-5,Sandra Sayonara Solórzano SolórzanoJohanna Micaela Pizarro RomeroJimmy Gabriel Díaz CuevaJorge Eduardo Arias MonteroMichael Andrés Zamora CampoverdeMariana Malvina Lozzelli ValarezoJose Carlos Montes NinaquispeBenicio Gonzalo Acosta EnriquezMarco Agustín Arbulú Ballesteros,2024,https://link.springer.com/article/10.1186/s13731-024-00412-5,Article
Stereotypes in Language Models,More than a Chatbot,,,,10.1007/978-3-031-37690-0_6,Mascha Kurpicz-Briki,2023,https://link.springer.com/chapter/10.1007/978-3-031-37690-0_6,Chapter
The Future of Learning with AI,Generative AI in Education,,,,10.1007/979-8-8688-0844-9_8,Paolo Narciso,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0844-9_8,Chapter
From Concept to Practice: How Managers Are Integrating AI into Business Marketing,Marketing and Smart Technologies,,,,10.1007/978-981-96-3077-6_1,Na Bai,2025,https://link.springer.com/chapter/10.1007/978-981-96-3077-6_1,Conference paper
Digitization in the Field of Engineering Teacher Training,"Towards a Hybrid, Flexible and Socially Engaged Higher Education",,,,10.1007/978-3-031-51979-6_17,Andreas ProbstRalph DreherKlaudia Lettmayr,2024,https://link.springer.com/chapter/10.1007/978-3-031-51979-6_17,Conference paper
AI for Sustainable Development: MENA Strategies,AI in the Middle East for Growth and Business,,,,10.1007/978-3-031-75589-7_4,Srinivas Subba Rao PasumartiCynthia El Hajj,2025,https://link.springer.com/chapter/10.1007/978-3-031-75589-7_4,Chapter
