Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Science Mapping of the Knowledge Base on the Effects of Artifcial Intelligence (AI)-Based Chatbots on Student Learning Outcomes: A Bibliometric Study,Social Robots in Education,,,,10.1007/978-3-031-82915-4_18,Turgut KarakoseHakan Polat,2025,https://link.springer.com/chapter/10.1007/978-3-031-82915-4_18,Chapter
Exploring Ethical Considerations on Using Generative AI among University Computer Science Students with Focus on Diversity,General Aspects of Applying Generative AI in Higher Education,,,,10.1007/978-3-031-65691-0_19,Andreea Molnar,2024,https://link.springer.com/chapter/10.1007/978-3-031-65691-0_19,Chapter
Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking,Chatbot Research and Design,,,,10.1007/978-3-031-54975-5_12,Jacob PenneyJoão Felipe PimentelIgor SteinmacherMarco A. Gerosa,2024,https://link.springer.com/chapter/10.1007/978-3-031-54975-5_12,Conference paper
Improving LLM Classification of Logical Errors by Integrating Error Relationship into Prompts,Generative Intelligence and Intelligent Tutoring Systems,,,,10.1007/978-3-031-63028-6_8,Yanggyu LeeSuchae JeongJihie Kim,2024,https://link.springer.com/chapter/10.1007/978-3-031-63028-6_8,Conference paper
Teaching Database Topics: Strategies and Techniques for Inclusion of Large Language Models,Artificial Intelligence in Vocational Education and Training,,,,10.1007/978-981-96-6001-8_4,Amitrajit Sarkar,2025,https://link.springer.com/chapter/10.1007/978-981-96-6001-8_4,Chapter
Comparing lesson plan-driven and ask-me-anything chatbots: teaching a UNIX Shell course,Discover Education,,,,10.1007/s44217-025-00492-9,Jose Berengueres,2025,https://link.springer.com/article/10.1007/s44217-025-00492-9,Article
ChatGPT as&#xa0;a&#xa0;Learning Aid for&#xa0;an&#xa0;Introductory Programming Course,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 14th International Conference",,,,10.1007/978-3-031-73538-7_14,Ian Brandon D. VahloisMerry Ann S. OngBernard Florian T. LlagasRovi Gabriel L. Dela CruzShirley B. Chu,2024,https://link.springer.com/chapter/10.1007/978-3-031-73538-7_14,Conference paper
LLM Integration in&#xa0;Workbook Design for&#xa0;Teaching Coding Subjects,Smart Technologies for a Sustainable Future,,,,10.1007/978-3-031-61891-8_7,Magnus WesterlundAndrey Shcherbakov,2024,https://link.springer.com/chapter/10.1007/978-3-031-61891-8_7,Conference paper
Performance of&#xa0;Large Language Models in&#xa0;a&#xa0;Computer Science Degree Program,Artificial Intelligence. ECAI 2023 International Workshops,,,,10.1007/978-3-031-50485-3_40,Tim KrügerMichael Gref,2024,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_40,Conference paper
"Explain in&#xa0;Plain Language Questions with&#xa0;Indic Languages: Drawbacks, Affordances, and&#xa0;Opportunities",Computing Education Research,,,,10.1007/978-3-031-84391-4_1,David H. Smith IVViraj KumarPaul Denny,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_1,Conference paper
Artificial Intelligence and Information Literacy: Hazards and Opportunities,Information Experience and Information Literacy,,,,10.1007/978-3-031-53001-2_5,Michael Flierl,2024,https://link.springer.com/chapter/10.1007/978-3-031-53001-2_5,Conference paper
Introduction,Modeling Programming Competency,,,,10.1007/978-3-031-47148-3_1,Natalie Kiesler,2024,https://link.springer.com/chapter/10.1007/978-3-031-47148-3_1,Chapter
Teaching AI with games: the impact of generative AI drawing on computational thinking skills,Education and Information Technologies,,,,10.1007/s10639-025-13624-3,Ting-Chia HsuTai-Ping Hsu,2025,https://link.springer.com/article/10.1007/s10639-025-13624-3,Article
Revolutionizing Programming Language Education with&#xa0;Generative AI: Knowledge Enrichment and&#xa0;Adaptive Learning/Teaching Framework,Emerging Technologies for Education,,,,10.1007/978-981-97-4246-2_10,H. G. KhiemL. Q. KhoiM. N. TrietN. T. PhucT. D. KhoaN. Q. HienL. K. TungT. B. NamN. T. VinhN. H. KhaQ. T. ThuanL. K. BangN. V. MinhN. T. K. NganH. V. Khanh,2024,https://link.springer.com/chapter/10.1007/978-981-97-4246-2_10,Conference paper
AI in and for Qualitative Research,Handbuch Soziale Praktiken und Digitale Alltagswelten,,,,10.1007/978-3-658-08460-8_98-1,Lina FrankenLibuše Hannah Vepřek,2025,https://link.springer.com/rwe/10.1007/978-3-658-08460-8_98-1,Living reference work entry
Artificial Intelligence&#xa0;and Educational Broadcasting: Digitizing Higher&#xa0;Education (HE) in Nigerian Context,Educational Broadcasting in Nigeria in the Age of Artificial Intelligence,,,,10.1007/978-3-031-68530-9_14,Harriet Akudo AgbarakweOlorunfemi Adedeji,2024,https://link.springer.com/chapter/10.1007/978-3-031-68530-9_14,Chapter
Who’s Helping Who? When Students Use ChatGPT to&#xa0;Engage in&#xa0;Practice Lab Sessions,Artificial Intelligence in Education,,,,10.1007/978-3-031-64302-6_17,Jérôme BrenderLaila El-HamamsyFrancesco MondadaEngin Bumbacher,2024,https://link.springer.com/chapter/10.1007/978-3-031-64302-6_17,Conference paper
Revolutionising Translation with AI: Unravelling Neural Machine Translation and Generative Pre-trained Large Language Models,New Advances in Translation Technology,,,,10.1007/978-981-97-2958-6_3,Sai Cheong Siu,2024,https://link.springer.com/chapter/10.1007/978-981-97-2958-6_3,Chapter
Developing Conversational Intelligent Tutoring for Speaking Skills in Second Language Learning,Generative Intelligence and Intelligent Tutoring Systems,,,,10.1007/978-3-031-63028-6_11,Jeongmin LeeJin-Xia HuangMinsoo ChoYoon-Hyung RohOh-Woog KwonYunkeun Lee,2024,https://link.springer.com/chapter/10.1007/978-3-031-63028-6_11,Conference paper
Bugs in large language models generated code: an empirical study,Empirical Software Engineering,,,,10.1007/s10664-025-10614-4,Florian TambonArghavan Moradi-DakhelAmin NikanjamFoutse KhomhMichel C. DesmaraisGiuliano Antoniol,2025,https://link.springer.com/article/10.1007/s10664-025-10614-4,Article
An assessment of large language models for OpenMP-based code parallelization: a user perspective,Journal of Big Data,,,,10.1186/s40537-024-01019-z,Marko MišićMatija Dodović,2024,https://link.springer.com/article/10.1186/s40537-024-01019-z,Article
Equity Issues Derived from&#xa0;Use of&#xa0;Large Language Models in&#xa0;Education,"New Media Pedagogy: Research Trends, Methodological Challenges, and Successful Implementations",,,,10.1007/978-3-031-63235-8_28,Esdras L. BispoSimone Cristiane dos SantosMarcus V. A. B. De Matos,2024,https://link.springer.com/chapter/10.1007/978-3-031-63235-8_28,Conference paper
Adapting to the AI Age: Recommendations for Enhancing Computer Science Education,Creative Approaches to Technology-Enhanced Learning for the Workplace and Higher Education,,,,10.1007/978-3-031-73427-4_16,Sigrid Schefer-WenzlIgor Miladinovic,2024,https://link.springer.com/chapter/10.1007/978-3-031-73427-4_16,Conference paper
Are ChatGPT-Like Applications Harmful for the Learning Process?,"Towards a Hybrid, Flexible and Socially Engaged Higher Education",,,,10.1007/978-3-031-52667-1_22,Romeo Marin MarianTeodora SurubaruDorin Isoc,2024,https://link.springer.com/chapter/10.1007/978-3-031-52667-1_22,Conference paper
"“Ok Pal, we have to code that now”: interaction patterns of programming beginners with a conversational chatbot",Empirical Software Engineering,,,,10.1007/s10664-024-10561-6,Alina MailachDominik GorgoschNorbert SiegmundJanet Siegmund,2024,https://link.springer.com/article/10.1007/s10664-024-10561-6,Article
Large Language Models: An Empirical Study in&#xa0;Computer Science,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87781-0_33,Muhammad Naveed ZafarManuel MazzaraMahmoud Naderi,2025,https://link.springer.com/chapter/10.1007/978-3-031-87781-0_33,Conference paper
$$\ldots $$ In&#xa0;Training and&#xa0;Education,Building Personality-Driven Language Models,,,,10.1007/978-3-031-80087-0_9,Karol PrzystalskiJan K. ArgasińskiNatalia LippDawid Pacholczyk,2025,https://link.springer.com/chapter/10.1007/978-3-031-80087-0_9,Chapter
Enhancing E-Learning Experience Through Embodied AI Tutors in&#xa0;Immersive Virtual Environments: A&#xa0;Multifaceted Approach for&#xa0;Personalized Educational Adaptation,Adaptive Instructional Systems,,,,10.1007/978-3-031-60609-0_20,Fatemeh SarshartehraniElham MohammadrezaeiMajid BehravanDenis Gracanin,2024,https://link.springer.com/chapter/10.1007/978-3-031-60609-0_20,Conference paper
Empowering learners with ChatGPT: insights from a systematic literature exploration,Discover Education,,,,10.1007/s44217-024-00120-y,Laila Mohebi,2024,https://link.springer.com/article/10.1007/s44217-024-00120-y,Article
What Students Should Learn and&#xa0;Teachers Must Know About Artificial Intelligence,Intelligent Data Engineering and Automated Learning – IDEAL 2024,,,,10.1007/978-3-031-77738-7_40,Simone OpelAndrea LinxenChristian Beecks,2025,https://link.springer.com/chapter/10.1007/978-3-031-77738-7_40,Conference paper
Empowering Education with LLMs - The Next-Gen Interface and Content Generation,"Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky",,,,10.1007/978-3-031-36336-8_4,Steven MooreRichard TongAnjali SinghZitao LiuXiangen HuYu LuJoleen LiangChen CaoHassan KhosraviPaul DennyChris BrooksJohn Stamper,2023,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_4,Conference paper
AI-based Adaptive Programming Education for Socially Disadvantaged Students: Bridging the Digital Divide,TechTrends,,,,10.1007/s11528-025-01088-8,Jozsef KatonaKlara Ida Katonane Gyonyoru,2025,https://link.springer.com/article/10.1007/s11528-025-01088-8,Article
"FOKE: A Personalized and&#xa0;Explainable Education Framework Integrating Foundation Models, Knowledge Graphs, and&#xa0;Prompt Engineering",Big Data and Social Computing,,,,10.1007/978-981-97-5803-6_24,Silan HuXiaoning Wang,2024,https://link.springer.com/chapter/10.1007/978-981-97-5803-6_24,Conference paper
Investigating the&#xa0;Role of&#xa0;ChatGPT in&#xa0;Supporting Text-Based Programming Education for&#xa0;Students and&#xa0;Teachers,Informatics in Schools. Beyond Bits and Bytes: Nurturing Informatics Intelligence in Education,,,,10.1007/978-3-031-44900-0_4,Markus WieserKlaus SchöffmannDaniela StefanicsAndreas BollinStefan Pasterk,2023,https://link.springer.com/chapter/10.1007/978-3-031-44900-0_4,Conference paper
Difficulty aware programming knowledge tracing via large language models,Scientific Reports,,,,10.1038/s41598-025-96540-3,Lina YangXinjie SunHui LiRan XuXuqin Wei,2025,https://link.springer.com/article/10.1038/s41598-025-96540-3,Article
Automated Grading in Coding Exercises Using Large Language Models,Smart Mobile Communication & Artificial Intelligence,,,,10.1007/978-3-031-54327-2_37,Paraskevas LagakisStavros DemetriadisGeorgios Psathas,2024,https://link.springer.com/chapter/10.1007/978-3-031-54327-2_37,Conference paper
Developing an&#xa0;Interactive OpenMP Programming Book with&#xa0;Large Language Models,Advancing OpenMP for Future Accelerators,,,,10.1007/978-3-031-72567-8_12,Xinyao YiAnjia WangYonghong YanChunhua Liao,2024,https://link.springer.com/chapter/10.1007/978-3-031-72567-8_12,Conference paper
Examining the Effect of ChatGPT on Small Group Ideation Discussions,Human-Centric Decision and Negotiation Support for Societal Transitions,,,,10.1007/978-3-031-59373-4_12,Madoka ChosokabeShohei KoieYuji Oyamada,2024,https://link.springer.com/chapter/10.1007/978-3-031-59373-4_12,Conference paper
A Survey and Insights on Modern Game Development Processes for Software Engineering Education,Software and Data Engineering,,,,10.1007/978-3-031-75201-8_6,Aakanksha ShresthaFei ZuoGang QianJunghwan Rhee,2025,https://link.springer.com/chapter/10.1007/978-3-031-75201-8_6,Conference paper
The Concept of Teaching Secondary Students Programming Using Artificial Intelligence,E-Learning and Enhancing Soft Skills,,,,10.1007/978-3-031-82243-8_3,Nataliia MorzeOlga Barna,2025,https://link.springer.com/chapter/10.1007/978-3-031-82243-8_3,Chapter
"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-024-00446-5,Dan SunAzzeddine BoudouaiaChengcong ZhuYan Li,2024,https://link.springer.com/article/10.1186/s41239-024-00446-5,Article
Leveraging ChatGPT to Support Self-Regulated Learning in Online Courses,TechTrends,,,,10.1007/s11528-025-01075-z,Meina Zhu,2025,https://link.springer.com/article/10.1007/s11528-025-01075-z,Article
"AI in Educational Assessment, Applications, and Implications: A Survey",Agents and Multi-agent Systems: Technologies and Applications 2024,,,,10.1007/978-981-97-6469-3_33,Rawan AliMohammad Reza Bahrami,2025,https://link.springer.com/chapter/10.1007/978-981-97-6469-3_33,Conference paper
Generative AI and Large Language Models for Computing and STEM Education,,,,,dggaeiaiif,,2023,https://link.springer.com/collections/dggaeiaiif,Collection
The Role of Generative Artificial Intelligence in the Assessment of Open-Ended Questions,Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-85652-5_40,Janka PecuchovaMartin Drlik,2025,https://link.springer.com/chapter/10.1007/978-3-031-85652-5_40,Conference paper
A systematic review of literature reviews on artificial intelligence in education (AIED): a roadmap to a future research agenda,Smart Learning Environments,,,,10.1186/s40561-024-00350-5,Muhammad Yasir MustafaAhmed TliliGeorgios LampropoulosRonghuai HuangPetar JandrićJialu ZhaoSoheil SalhaLin XuSantosh PandaKinshukSonsoles López-PernasMohammed Saqr,2024,https://link.springer.com/article/10.1186/s40561-024-00350-5,Article
Content Specialists’ Anti-Plagiarism Pedagogical Interventions:&#xa0;A Thematic Review,Journal of Academic Ethics,,,,10.1007/s10805-024-09589-6,Yongyan LiHui ChenXiaoling LiuSimon Wang,2024,https://link.springer.com/article/10.1007/s10805-024-09589-6,Article
Designing Java Programming Exercises with AI Assistance in Introductory Courses,Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-83523-0_50,Joaquín CañadasJulio Barón,2025,https://link.springer.com/chapter/10.1007/978-3-031-83523-0_50,Conference paper
Influence of ChatGPT on Programming Code Generation: A Case Study of the Technical University of Manabí,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-83210-9_21,Daniel PalaciosLucía Rivadeneira,2025,https://link.springer.com/chapter/10.1007/978-3-031-83210-9_21,Conference paper
Research on the Application Path of AIGC in Higher Education,E-Business. Generative Artificial Intelligence and Management Transformation,,,,10.1007/978-3-031-94190-0_22,Rui TongWenjing YuJing ZhangLinlin LiJinzhi ZhouXueqin Chang,2025,https://link.springer.com/chapter/10.1007/978-3-031-94190-0_22,Conference paper
"Artificial Intelligence in Higher Education: Trends, Possibilities and Challenges",Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-85652-5_23,Vanja SlavujDanijela JakšićMartina Ašenbrener Katic,2025,https://link.springer.com/chapter/10.1007/978-3-031-85652-5_23,Conference paper
What factors will affect the effectiveness of using ChatGPT to solve programming problems? A quasi-experimental study,Humanities and Social Sciences Communications,,,,10.1057/s41599-024-02751-w,Yuhui JingHaoming WangXiaojiao ChenChengliang Wang,2024,https://link.springer.com/article/10.1057/s41599-024-02751-w,Article
Application of artificial intelligence in the diagnosis of malignant digestive tract tumors: focusing on opportunities and challenges in endoscopy and pathology,Journal of Translational Medicine,,,,10.1186/s12967-025-06428-z,Yinhu GaoPeizhen WenYuan LiuYahuang SunHui QianXin ZhangHuan PengYanli GaoCuiyu LiZhangyuan GuHuajin ZengZhijun HongWeijun WangRonglin YanZunqi HuHongbing Fu,2025,https://link.springer.com/article/10.1186/s12967-025-06428-z,Article
Language-Model Assisted Learning How to&#xa0;Program?,Artificial Intelligence. ECAI 2023 International Workshops,,,,10.1007/978-3-031-50485-3_41,Jochen L. LeidnerMichael Reiche,2024,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_41,Conference paper
"Automated Analysis of&#xa0;Algorithm Descriptions Quality, Through Large Language Models",Generative Intelligence and Intelligent Tutoring Systems,,,,10.1007/978-3-031-63028-6_20,Andrea SterbiniMarco Temperini,2024,https://link.springer.com/chapter/10.1007/978-3-031-63028-6_20,Conference paper
Artificial intelligence in education research during 2013–2023: A review based on bibliometric analysis,Education and Information Technologies,,,,10.1007/s10639-024-12491-8,Shuchen GuoYuanyuan ZhengXiaoming Zhai,2024,https://link.springer.com/article/10.1007/s10639-024-12491-8,Article
AI-Lab: A Framework for Introducing Generative Artificial Intelligence Tools in Computer Programming Courses,SN Computer Science,,,,10.1007/s42979-024-03074-y,Ethan DickeyAndres BejaranoChirayu Garg,2024,https://link.springer.com/article/10.1007/s42979-024-03074-y,Article
"GAMAI, an&#xa0;AI-Powered Programming Exercise Gamifier Tool","Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky",,,,10.1007/978-3-031-64315-6_47,Raffaele MontellaCiro Giuseppe De VitaGennaro MelloneTullio CiricilloDario CaramielloDiana Di LuccioSokol KostaRobertas DamaseviciusRytis MaskeliunasRicardo QueirosJakub Swacha,2024,https://link.springer.com/chapter/10.1007/978-3-031-64315-6_47,Conference paper
Automatic Generation of&#xa0;Multiple-Choice Questions for&#xa0;CS0 and&#xa0;CS1 Curricula Using Large Language Models,Computer Science and Education. Computer Science and Technology,,,,10.1007/978-981-97-0730-0_28,Tian SongQinqin TianYijia XiaoShuting Liu,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_28,Conference paper
"Enhancing academic stress assessment through self-disclosure chatbots: effects on engagement, accuracy, and self-reflection",International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-025-00527-z,Minyoung ParkSidney FelsKyoungwon Seo,2025,https://link.springer.com/article/10.1186/s41239-025-00527-z,Article
Enhancing Academic Advising Through AI Chatbots: A Smart Support System for Students,Proceedings of the Fourth International Conference on Innovations in Computing Research (ICR’25),,,,10.1007/978-3-031-95652-2_27,Wasin AlkishriMahmood Al-BahriYousuf Al Husaini,2025,https://link.springer.com/chapter/10.1007/978-3-031-95652-2_27,Conference paper
AI in Education and Learning: Perspectives on the Education Ecosystem,New Frontiers in Science in the Era of AI,,,,10.1007/978-3-031-61187-2_11,Hannele Niemi,2024,https://link.springer.com/chapter/10.1007/978-3-031-61187-2_11,Chapter
"Advancing translational human dynamics research: bridging space, mind, and computational urban science in the era of GeoAI",Computational Urban Science,,,,10.1007/s43762-025-00171-3,Bin JiangTao ChengMing-Hsiang TsouDi ZhuXinyue Ye,2025,https://link.springer.com/article/10.1007/s43762-025-00171-3,Article
Shaping the future: How robot programming education changes the attitudes of robotics among rural primary school students in a developing country,Education and Information Technologies,,,,10.1007/s10639-024-13077-0,Chao QinMengli ZhangZhixin LiLuxin Chen,2024,https://link.springer.com/article/10.1007/s10639-024-13077-0,Article
Gameplaying AI by Game Genre,Artificial Intelligence and Games,,,,10.1007/978-3-031-83347-2_6,Georgios N. YannakakisJulian Togelius,2025,https://link.springer.com/chapter/10.1007/978-3-031-83347-2_6,Chapter
Bridging perspectives on artificial intelligence: a comparative analysis of hopes and concerns in developed and developing countries,AI & SOCIETY,,,,10.1007/s00146-025-02331-9,Amirmahdi MohammadiMehrdad Maghsoudi,2025,https://link.springer.com/article/10.1007/s00146-025-02331-9,Article
Embracing AI in&#xa0;Cyber Security Education: A Postgraduate Case Study,Advances in Teaching and Learning for Cyber Security Education,,,,10.1007/978-3-031-77524-6_7,Eckhard PfluegelM. Rehan UsmanDavid PickardVesna Brujic-Okretic,2024,https://link.springer.com/chapter/10.1007/978-3-031-77524-6_7,Conference paper
Challenges and&#xa0;Outcomes of&#xa0;Organizing an&#xa0;Open Discussion Forum for&#xa0;Building the&#xa0;CSEd Research Community,Computing Education Research,,,,10.1007/978-3-031-84391-4_3,Neeraj GoelBhumika ShahMrityunjay KumarRitwik MuraliRuchika Gupta,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_3,Conference paper
Machine Learning Models to Detect AI-Assisted Code Anomaly in Introductory Programming Course,Advanced Technologies and the University of the Future,,,,10.1007/978-3-031-71530-3_11,Hapnes TobaOscar Karnalim,2025,https://link.springer.com/chapter/10.1007/978-3-031-71530-3_11,Chapter
The role and impact of ChatGPT in educational practices: insights from an Australian higher education case study,Discover Education,,,,10.1007/s44217-024-00126-6,Raj SanduErgun GideMahmoud Elkhodr,2024,https://link.springer.com/article/10.1007/s44217-024-00126-6,Article
Effect of large language models artificial intelligence chatgpt chatbot on achievement of computer education students,Education and Information Technologies,,,,10.1007/s10639-024-13293-8,Ibrahim Abba MohammedAhmed BelloBala Ayuba,2025,https://link.springer.com/article/10.1007/s10639-024-13293-8,Article
AlgoTutor: An Integrated Learning Platform for Data Structures and Algorithms with Real-Time Guidance and Interactive Visualizations,HCI International 2024 Posters,,,,10.1007/978-3-031-61953-3_4,Gadepalli Chandan SashankZong Wei TanOwen Noel Newton Fernando,2024,https://link.springer.com/chapter/10.1007/978-3-031-61953-3_4,Conference paper
"Evaluating AI-Generated Code for&#xa0;C++, Fortran, Go, Java, Julia, Matlab, Python, R, and&#xa0;Rust",Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90200-0_20,Patrick DiehlNoujoud NaderSteve BrandtHartmut Kaiser,2025,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_20,Conference paper
ChatGPT 4.0 and algor in generating concept maps: an observational study,European Archives of Oto-Rhino-Laryngology,,,,10.1007/s00405-025-09255-6,Antonino ManiaciCaterina GaglianoValerio SalernoNicole CiliaSalvatore LavalleAlberto Maria SaibeneGiovanni CammarotoCarlos Chiesa-EstombaThomas RadulescoLuigi VairaGiannicola IannellaNicolas FakhryJerome Rene Lechien,2025,https://link.springer.com/article/10.1007/s00405-025-09255-6,Article
Mastery learning in CS1: a longitudinal study during and post-pandemic,Discover Education,,,,10.1007/s44217-024-00361-x,Vasa BuraphadejaVilasinee Srisarkun,2024,https://link.springer.com/article/10.1007/s44217-024-00361-x,Article
Impact of ChatGPT on Educational Strategies for Future-Proof Business Data Analyst: Machine Learning Code Generation in Teaching and Learning,Business Analytics and Decision Making in Practice,,,,10.1007/978-3-031-61589-4_3,Colin FuJoseph Damonte,2024,https://link.springer.com/chapter/10.1007/978-3-031-61589-4_3,Conference paper
Intelligent Communities,Generative AI and Education,,,,10.1007/978-3-031-67991-9_5,B. Mairéad Pratschke,2024,https://link.springer.com/chapter/10.1007/978-3-031-67991-9_5,Chapter
Exploring the impact of ChatGPT-generated feedback on technical writing skills of computing students: A blinded study,Education and Information Technologies,,,,10.1007/s10639-024-12594-2,Rayed AlGhamdi,2024,https://link.springer.com/article/10.1007/s10639-024-12594-2,Article
Constructive alignment in a graduate-level project management course: an innovative framework using large language models,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-024-00457-2,Estacio PereiraSumaya NsairLeticia Radin PereiraKimberley Grant,2024,https://link.springer.com/article/10.1186/s41239-024-00457-2,Article
The R5E pattern: can artificial intelligence enhance programming skills development?,Education and Information Technologies,,,,10.1007/s10639-025-13616-3,Yousri Attia Mohamed AboueleneinAyat Fawzy Ahmed GhazalaEman Mahdy Mohamed MahdyMohamed Hassan Ragab Khalaf,2025,https://link.springer.com/article/10.1007/s10639-025-13616-3,Article
From Sparse to&#xa0;Smart: Leveraging AI for&#xa0;Effective Online Judge Problem Classification in&#xa0;Programming Education,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72315-5_25,Filipe Dwan PereiraMaely MoraesMarcelo HenklainArto HellasElaine OliveiraDragan GasevicRaimundo BarretoRafael Mello,2024,https://link.springer.com/chapter/10.1007/978-3-031-72315-5_25,Conference paper
"Deep learning-based software engineering: progress, challenges, and opportunities",Science China Information Sciences,,,,10.1007/s11432-023-4127-5,Xiangping ChenXing HuYuan HuangHe JiangWeixing JiYanjie JiangYanyan JiangBo LiuHui LiuXiaochen LiXiaoli LianGuozhu MengXin PengHailong SunLin ShiBo WangChong WangJiayi WangTiantian WangJifeng XuanXin XiaYibiao YangYixin YangLi ZhangYuming ZhouLu Zhang,2024,https://link.springer.com/article/10.1007/s11432-023-4127-5,Article
Introduction to CG Education Using ChatGPT in Department of Image Arts,ICGG 2024 - Proceedings of the 21st International Conference on Geometry and Graphics,,,,10.1007/978-3-031-71013-1_39,Kunio KondoHiroyuki NagayoshiMakoto NagataJunichi Kanebako,2025,https://link.springer.com/chapter/10.1007/978-3-031-71013-1_39,Conference paper
On the Vertical and Horizontal Integration of Robotics Within Engineering and Computing Education,Proceedings of the IUTAM Symposium on Optimal Guidance and Control for Autonomous Systems 2023,,,,10.1007/978-3-031-39303-7_16,Vanessa BarthColleen BergPaulo CostaMissy L. CummingsWilliam DenhamRobert HandlerMonson HayesDinesh KarriNathan KathirLeigh McCueElise Miller HooksCameron NowzariColin ReagleDavid RosenblumVioletta RostobayaQuentin SandersDaigo ShishikaJohn ShortleEmina Sinanovic,2024,https://link.springer.com/chapter/10.1007/978-3-031-39303-7_16,Conference paper
Navigating the landscape of AI literacy education: insights from a decade of research (2014–2024),Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04583-8,Yuqin YangYing ZhangDaner SunWenmeng HeYantao Wei,2025,https://link.springer.com/article/10.1057/s41599-025-04583-8,Article
An In-depth Exploration of Unit Testing Challenges in Data-Driven MOOCs,Creative Approaches to Technology-Enhanced Learning for the Workplace and Higher Education,,,,10.1007/978-3-031-73427-4_30,Mohamed ElhayanyChristoph Meinel,2024,https://link.springer.com/chapter/10.1007/978-3-031-73427-4_30,Conference paper
The effectiveness of intelligent tutoring systems in supporting students with varying levels of programming experience,Discover Education,,,,10.1007/s44217-024-00385-3,Arthur William Fodouop Kouam,2024,https://link.springer.com/article/10.1007/s44217-024-00385-3,Article
A Competency-Based Transformation in Computing and Engineering Education in the Digital Era,Frontiers of Digital Education,,,,10.1007/s44366-024-0025-8,John ImpagliazzoXiaofei Xu,2024,https://link.springer.com/article/10.1007/s44366-024-0025-8,Article
Transforming Perceptions: Pedagogical Efficacy of Generative Artificial Intelligence in Art-Tech Education,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_25,Mario Caudillo,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_25,Conference paper
Exploring students’ emotions towards programming: Analysing sentiments using concurrent conversion mixed methods,Education and Information Technologies,,,,10.1007/s10639-025-13482-z,Nilüfer Atman UsluAytuğ Onan,2025,https://link.springer.com/article/10.1007/s10639-025-13482-z,Article
Domain Adaptation for&#xa0;Automated Tag Prediction in&#xa0;Competitive Programming,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-96228-8_11,Ion George DinuMarian Cristian MihăescuTraian Rebedea,2025,https://link.springer.com/chapter/10.1007/978-3-031-96228-8_11,Conference paper
Decent deepfakes? Professional deepfake developers’ ethical considerations and their governance potential,AI and Ethics,,,,10.1007/s43681-024-00542-2,Maria Pawelec,2024,https://link.springer.com/article/10.1007/s43681-024-00542-2,Article
Develop a Machine Learning Life Cycle in Oracle Accelerated Data Science (ADS) SDK,Proceedings of 22nd International Conference on Informatics in Economy (IE 2023),,,,10.1007/978-981-99-6529-8_25,Dimitrie-Daniel Plăcintă,2024,https://link.springer.com/chapter/10.1007/978-981-99-6529-8_25,Conference paper
Demystifying Computer Science: A Sentence Transformers and Neural Networks-Powered Chatbot,Artificial Intelligence for Design and Process Science,,,,10.1007/978-3-031-67886-8_4,Sang C. SuhSwetha Reddy Pathuri,2025,https://link.springer.com/chapter/10.1007/978-3-031-67886-8_4,Chapter
Construction of AI Literacy Evaluation System for College Students and an Empirical Study at Wuhan University,Frontiers of Digital Education,,,,10.1007/s44366-025-0039-x,Dan WuXinjue SunShaobo LiangChao QiuZiyi Wei,2025,https://link.springer.com/article/10.1007/s44366-025-0039-x,Article
Mapping the Landscape of AI Implementation in STEM and STEAM Education: A Bibliometric Analysis,Technology in Education. Digital and Intelligent Education,,,,10.1007/978-981-96-0205-6_7,Ningwei SunSalmiza Saleh,2024,https://link.springer.com/chapter/10.1007/978-981-96-0205-6_7,Conference paper
